X,Y
3.960144927536232018e+01,4.847014925373134247e+03
3.963768115942028913e+01,4.746268656716417354e+03
3.963768115942028913e+01,4.645522388059701370e+03
3.963768115942028913e+01,4.544776119402985387e+03
3.971014492753623415e+01,4.444029850746268494e+03
3.963768115942028913e+01,4.343283582089552510e+03
3.974637681159420310e+01,4.242537313432835617e+03
4.032608695652173481e+01,4.147388059701492239e+03
3.992753623188406209e+01,3.845149253731342924e+03
4.047101449275362484e+01,3.542910447761194519e+03
4.057971014492753881e+01,3.442164179104477626e+03
4.057971014492753881e+01,3.347014925373134702e+03
4.086956521739130466e+01,3.246268656716417809e+03
4.126811594202898448e+01,3.151119402985074430e+03
4.239130434782608603e+01,2.854477611940298630e+03
4.307971014492753170e+01,2.753731343283582191e+03
4.260869565217391397e+01,2.652985074626865753e+03
4.340579710144927361e+01,2.552238805970149315e+03
4.362318840579710155e+01,2.451492537313432877e+03
4.442028985507246830e+01,2.350746268656716438e+03
4.431159420289854722e+01,2.250000000000000000e+03
4.561594202898550776e+01,2.154850746268656621e+03
4.742753623188406209e+01,1.852611940298507307e+03
4.815217391304348382e+01,1.751865671641791096e+03
4.855072463768115654e+01,1.656716417910447944e+03
5.007246376811593791e+01,1.561567164179104566e+03
5.137681159420289845e+01,1.460820895522388128e+03
5.166666666666667140e+01,1.360074626865671689e+03
5.297101449275362484e+01,1.259328358208955251e+03
5.420289855072464036e+01,1.158582089552238813e+03
5.568840579710145278e+01,1.052238805970149315e+03
5.619565217391304657e+01,9.570895522388059362e+02
5.840579710144927361e+01,8.619402985074626713e+02
6.083333333333332860e+01,7.611940298507463467e+02
6.202898550724638227e+01,6.604477611940297948e+02
6.423913043478260931e+01,5.652985074626865298e+02
6.565217391304346961e+01,4.645522388059701484e+02
6.826086956521739069e+01,3.638059701492537670e+02
7.047101449275362484e+01,2.686567164179104452e+02
7.347826086956521863e+01,1.679104477611940354e+02
